,FIPS,Population_2020,Obesity_2020,ExcessiveDrinking,Unemployment,PhysicalInactivity,College,PhysicalDistress,MentalDistress,FI,HouseBurden,PCP,MHP,TrafficVolume,StateAbbr,Population_2022,TotalPop18plus,Obesity,Diabetes,Depression,BingeDrink,Conservative Protestant,Black Protestant,Orthodox Christian,Mainline Protestant,Other,Other Christian,Catholic,Judaism,Latter-day Saints,Hinduism,Jehovah’s Witnesses,Buddhism,Islam,Series_Complete_Yes,county_fips,DEMOCRAT_2024,REPUBLICAN_2024,Suicide,FFR20,FSR20
1712,39165,232540,64878.66,46068.4739787272,8966.0499598285,42787.36,42364,23404.2563581596,25765.9738833112,20640,7046,196.0,533.0,69,OH,249778,191037,65143.617000000006,18912.663,43174.362,38207.4,68644.0,1078.0,0.0,5251.0,0.0,52.0,0.0,0.0,1539.0,118.0,1538.0,0.0,1628.0,157907,39165.0,47128,91132,25,150,143
1713,39167,60217,22159.855999999996,10908.357733234721,3393.0722298616893,18305.967999999997,7962,7654.4512734275895,8457.20021402241,8540,2427,47.0,73.0,79,OH,58901,47490,21228.03,5698.8,13819.59,8595.69,8241.0,0.0,48.0,4617.0,0.0,157.0,0.0,0.0,471.0,0.0,176.0,0.0,247.0,34615,39167.0,8600,22161,13,52,41
1714,39169,116063,31453.073000000004,20980.455367311963,4197.210825957729,27739.056999999997,13864,13710.213953366489,15247.977852708142,13930,4109,63.0,382.0,35,OH,116559,88921,35657.321,9425.626,23741.907,16983.911,19849.0,0.0,0.0,10257.0,0.0,229.0,0.0,81.0,513.0,0.0,318.0,28.0,469.0,54498,39169.0,15898,36764,14,75,51
1715,39171,36760,12939.52,6493.1927031712,1330.50269870576,11358.84,4917,4393.567993950401,4874.176025600001,4400,1311,18.0,34.0,30,OH,36652,28687,11905.105,3299.005,7802.8640000000005,5766.087,13055.0,40.0,0.0,3909.0,0.0,0.0,0.0,0.0,214.0,0.0,176.0,0.0,0.0,16877,39171.0,4644,13461,8,29,21
1716,39173,130662,44947.727999999996,27287.29044718614,5279.516578752822,30705.57,22173,15456.33669031326,16928.072026699683,16220,6134,88.0,222.0,82,OH,131592,105161,37542.477000000006,11147.065999999999,27447.021,21978.649,25458.0,180.0,100.0,14115.0,0.0,100.0,0.0,0.0,1413.0,0.0,846.0,0.0,1644.0,82360,39173.0,30016,36877,17,111,94
1717,39175,0,0.0,0.0,0.0,0.0,2909,0.0,0.0,2530,688,5.0,11.0,13,OH,21567,16838,6735.2,1734.3140000000003,4613.612,3620.17,1251.0,0.0,0.0,4936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10636,39175.0,2731,8564,5,17,14
1718,40001,0,0.0,0.0,0.0,0.0,1882,0.0,0.0,4230,793,8.0,52.0,16,OK,19576,14403,6279.7080000000005,2246.868,4349.706,2030.8229999999999,10101.0,0.0,0.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,8573,40001.0,1289,5860,5,12,6
1719,40005,0,0.0,0.0,0.0,0.0,1525,0.0,0.0,2370,496,2.0,162.0,47,OK,14262,11269,4823.132,1510.046,3222.934,1746.695,9702.0,0.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,5223,40005.0,779,4832,3,7,11
1720,40009,0,0.0,0.0,0.0,0.0,3273,0.0,0.0,3060,593,16.0,66.0,28,OK,22009,16696,7129.192000000001,2020.2160000000001,4724.968,2554.4880000000003,10972.0,0.0,0.0,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,0.0,0.0,9340,40009.0,1093,6474,3,23,18
1721,40011,0,0.0,0.0,0.0,0.0,1080,0.0,0.0,1270,310,3.0,36.0,12,OK,8409,6240,2720.64,786.24,1822.08,936.0,3757.0,100.0,0.0,1208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4568,40011.0,671,3054,4,6,14
1722,40013,47325,15711.900000000003,6491.0219851425,1482.779391462825,15144.0,6579,6548.1287171700005,7315.877952796501,7150,1905,19.0,403.0,40,OK,48182,37054,15266.248000000001,4668.804,11005.038,5743.37,29430.0,100.0,0.0,1743.0,0.0,0.0,0.0,0.0,390.0,0.0,308.0,0.0,0.0,21871,40013.0,3569,13999,12,29,30
1723,40015,0,0.0,0.0,0.0,0.0,3302,0.0,0.0,4590,721,5.0,13.0,31,OK,26198,20254,8304.14,2876.0679999999998,5610.357999999999,3139.37,15503.0,0.0,0.0,1898.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,19650,40015.0,2414,6886,6,15,16
1724,40017,144610,50468.89,22182.7430506312,4021.12684462927,39478.53,26385,16073.345290092999,17612.076856793803,15020,3460,55.0,294.0,49,OK,169149,126161,53492.263999999996,13751.549,32171.055,19807.277,27694.0,400.0,0.0,8330.0,0.0,0.0,0.0,0.0,3510.0,0.0,920.0,0.0,0.0,91828,40017.0,21038,50551,26,94,78
1725,40019,48380,18674.68,6486.870628554,1699.3832678661802,17948.98,6507,6566.319164876601,7022.0267527982,7660,1951,26.0,227.0,36,OK,48510,36401,14815.207000000002,4404.521,10483.488000000001,5423.749000000001,23051.0,3750.0,0.0,5972.0,0.0,0.0,0.0,0.0,536.0,0.0,544.0,0.0,78.0,22242,40019.0,4277,14945,13,36,44
